Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect
the,23135851162,3,3,0,1,the,1
of,13151942776,2,2,0,1,of,1
and,12997637966,3,3,0,1,and,1
to,12136980858,2,2,0,1,to,1
a,9081174698,1,1,0,1,a,1
in,8469404971,2,2,0,1,in,1
for,5933321709,3,3,0,1,for,1
is,4705743816,2,2,0,1,is,1
on,3750423199,2,2,0,1,on,1
that,3400031103,4,3,1,1,that,1
by,3350048871,2,2,0,1,by,1
this,3228469771,4,4,0,1,this,1
with,3183110675,4,4,0,1,with,1
i,3086225277,1,1,0,1,i,1
you,2996181025,3,3,0,1,you,1
it,2813163874,2,2,0,1,it,1
not,2633487141,3,3,0,1,not,1
or,2590739907,2,2,0,1,or,1
be,2398724162,2,2,0,1,be,1
are,2393614870,3,3,0,1,are,1
from,2275595356,4,4,0,1,from,1
at,2272272772,2,2,0,1,at,1
as,2247431740,2,2,0,1,as,1
your,2062066547,4,4,0,1,your,1
all,2022459848,3,2,1,1,all,1
have,1564202750,4,4,0,1,have,1
new,1551258643,3,3,0,1,new,1
more,1544771673,4,4,0,1,more,1
an,1518266684,2,2,0,1,an,1
was,1483428678,3,3,0,1,was,1
we,1390661912,2,2,0,1,we,1
will,1356293641,4,3,1,1,will,1
home,1276852170,4,4,0,1,home,1
can,1242323499,3,3,0,1,can,0
us,1229112622,2,2,0,1,us,1
about,1226734006,5,5,0,1,about,1
if,1134987907,2,2,0,1,if,1
page,1082121730,4,4,0,1,page,1
my,1059793441,2,2,0,1,my,1
has,1046319984,3,3,0,1,has,1
search,1024093118,6,6,0,1,search,1
free,1014107316,4,3,1,1,free,1
but,999899654,3,3,0,1,but,1
our,998757982,3,3,0,1,our,1
one,993536631,3,3,0,1,one,1
other,978481319,5,5,0,1,other,1
do,950751722,2,2,0,1,do,1
no,937112320,2,2,0,1,no,1
information,932594387,11,8,3,1,information,0
time,908705570,4,4,0,1,time,1
they,883223816,4,4,0,1,they,1
site,844310242,4,4,0,1,site,1
he,842847219,2,2,0,1,he,1
up,829969374,2,2,0,1,up,1
may,827822032,3,3,0,1,may,1
what,812395582,4,4,0,1,what,1
which,810514085,5,4,1,1,which,0
their,782849411,5,5,0,1,their,1
news,755424983,4,4,0,1,news,1
out,741601852,3,3,0,1,out,1
use,719980257,3,3,0,1,use,1
any,710741293,3,3,0,1,any,1
there,701170205,5,4,1,1,there,1
see,681410380,3,2,1,1,see,1
only,661844114,4,4,0,1,only,1
so,661809559,2,2,0,1,so,1
