Word,Frequency,Letters_Number,Unique_Letters_number,Difference,GPT4o-mini_IFCorrect,Tokens_Number,Tokens
dasylab,24007,7,6,1,1,3,das yl ab
ingoio,18469,6,4,2,1,2,ingo io
plqyboy,27729,7,6,1,1,3,pl qy boy
grateful,5901215,8,8,0,1,2,gr ateful
dobrinishte,44979,11,10,1,0,4,dob rin ish te
lvg,48818,3,3,0,1,2,l vg
stroboscopic,20909,12,8,4,0,3,st rob oscopic
blogfood,15547,8,6,2,0,2,blog food
helical,713286,7,6,1,1,2,he lical
bicultural,97705,10,8,2,0,2,bic ultural
aylsworth,18990,9,9,0,1,3,ay ls worth
gomes,525272,5,5,0,1,2,g omes
sharka,19749,6,5,1,1,2,sh arka
doddridge,71987,9,6,3,0,3,dod dr idge
dyson,1646710,5,5,0,1,2,dy son
erielack,68626,8,7,1,0,3,er iel ack
depres,31552,6,5,1,0,2,de pres
lutwyche,26039,8,8,0,1,3,lut wy che
linkcounts,17972,10,9,1,1,2,link counts
pozza,12960,5,4,1,1,2,po zza
achp,27217,4,4,0,1,2,ach p
widths,1297416,6,6,0,1,2,width s
leidy,36115,5,5,0,1,2,le idy
diomedes,31640,8,6,2,0,3,di om edes
vineet,86682,6,5,1,0,2,vine et
riog,45472,4,4,0,1,2,ri og
meanders,148534,8,7,1,1,2,me anders
marlin,1762749,6,6,0,1,2,mar lin
sento,50568,5,5,0,1,2,s ento
tilmeld,34547,7,6,1,0,2,til meld
hornpipes,20613,9,8,1,0,2,horn pipes
cbv,57033,3,3,0,1,2,cb v
yutaka,171381,6,5,1,0,3,y ut aka
freshener,321208,9,6,3,0,2,fresh ener
logspace,13293,8,8,0,1,2,log space
jahns,19195,5,5,0,1,2,jah ns
vliz,26399,4,4,0,1,2,vl iz
finances,6647959,8,7,1,1,2,fin ances
stddev,67600,6,5,1,0,2,std dev
brunnette,22606,9,6,3,0,3,br unn ette
wwwat,43742,5,3,2,1,2,www at
guffman,32096,7,6,1,1,2,g uffman
collider,456804,8,7,1,0,2,coll ider
viridiplantae,98995,13,10,3,0,5,vir id ipl anta e
evicts,14760,6,6,0,1,2,ev icts
cusumano,37773,8,7,1,0,3,cus um ano
kasumigaseki,26068,12,8,4,0,5,kas um ig ase ki
shrii,17653,5,4,1,0,2,sh rii
diary,14922472,5,5,0,1,2,di ary
anonftp,14513,7,6,1,0,2,anon ftp
evaw,53985,4,4,0,0,2,ev aw
facialsblack,43087,12,8,4,0,3,fac ials black
horbury,29026,7,6,1,0,2,hor bury
tolerence,21609,9,7,2,0,3,t oler ence
xlg,71299,3,3,0,1,2,x lg
gaurang,15793,7,5,2,1,3,ga ur ang
mulberrytech,73940,12,10,2,0,3,mul berry tech
ncsbn,14242,5,4,1,1,3,n cs bn
refcounting,18078,11,10,1,0,3,ref count ing
outfile,357376,7,7,0,0,1,outfile
saites,20857,6,5,1,0,2,s aites
neverending,342111,11,7,4,0,2,never ending
illumines,22142,9,7,2,0,2,illum ines
flexipass,33523,9,8,1,0,3,flex ip ass
esri,968637,4,4,0,1,2,es ri
ppage,27217,5,4,1,1,2,pp age
financebusiness,12738,15,9,6,0,2,finance business
tirau,13824,5,5,0,1,2,tir au
conerter,13406,8,6,2,0,3,con er ter
rondonia,21240,8,6,2,0,3,r ondon ia
polytetrafluoroethylene,73244,23,12,11,0,6,pol yt etra flu oro ethylene
chms,14936,4,4,0,1,2,ch ms
motorcars,115390,9,7,2,0,2,motor cars
rpcinfo,19899,7,7,0,0,2,rpc info
grimble,24163,7,7,0,1,2,grim ble
typographic,273793,11,10,1,0,2,typ ographic
hobbycraft,44934,10,9,1,1,3,h obby craft
minges,13743,6,6,0,1,2,ming es
prolyte,1651670,7,7,0,1,3,pro ly te
cleric,969331,6,5,1,1,2,cler ic
lieutenant,3946806,10,7,3,0,2,lie utenant
titleholder,19560,11,8,3,0,2,title holder
